individual,individual,species,date_eaten,date_excreted,recovered
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/26/15,1
A,48081068,physalis,6/30/15,7/30/15,1
A,48081068,physalis,6/30/15,7/30/15,1
A,48081068,physalis,6/30/15,7/30/15,1
A,48081068,physalis,6/30/15,7/30/15,1
A,48081068,physalis,6/30/15,7/30/15,1
A,48081068,physalis,6/30/15,7/30/15,1
A,48081068,physalis,6/30/15,8/6/15,1
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
A,48081068,physalis,6/30/15,,0
B,616114,physalis,11/18/15,12/30/15,1
B,616114,physalis,11/18/15,1/3/16,1
B,616114,physalis,11/18/15,1/3/16,1
B,616114,physalis,11/18/15,1/5/16,1
B,616114,physalis,11/18/15,1/5/16,1
B,616114,physalis,11/18/15,1/5/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/7/16,1
B,616114,physalis,11/18/15,1/9/16,1
B,616114,physalis,11/18/15,1/9/16,1
B,616114,physalis,11/18/15,1/10/16,1
B,616114,physalis,11/18/15,1/14/16,1
B,616114,physalis,11/18/15,1/14/16,1
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
B,616114,physalis,11/18/15,,0
C,284061,physalis,3/1/16,4/28/16,1
C,284061,physalis,3/1/16,5/3/16,1
C,284061,physalis,3/1/16,5/26/16,1
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
C,284061,physalis,3/1/16,,0
D,A73789572,physalis,8/30/16,10/4/16,1
D,A73789572,physalis,8/30/16,10/4/16,1
D,A73789572,physalis,8/30/16,10/19/16,1
D,A73789572,physalis,8/30/16,10/24/16,1
D,A73789572,physalis,8/30/16,10/30/16,1
D,A73789572,physalis,8/30/16,11/10/16,1
D,A73789572,physalis,8/30/16,11/10/16,1
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
D,A73789572,physalis,8/30/16,,0
E,284061,physalis,3/1/16,4/28/16,1
E,284061,physalis,3/1/16,5/3/16,1
E,284061,physalis,3/1/16,5/26/16,1
E,284061,physalis,3/1/16,5/3/16,1
E,284061,physalis,3/1/16,5/3/16,1
E,284061,physalis,3/1/16,5/7/16,1
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
E,284061,physalis,3/1/16,,0
G,616114,physalis,11/18/15,12/30/15,1
